bid_datetime_beginning_utc,bid_datetime_beginning_ept,unit_code,bid_slope_flag,mw1,mw2,mw3,mw4,mw5,mw6,mw7,mw8,mw9,mw10,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,no_load_cost,cold_start_cost,inter_start_cost,hot_start_cost,max_daily_starts,min_runtime,max_ecomax,min_ecomax,avg_ecomax,max_ecomin,min_ecomin,avg_ecomin
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBgMaOTY1NTIxMDE,False,5.40,12.90,15.30,,,,,,,,1.00,150.00,177.00,,,,,,,,0.00,554.31,423.31,370.91,2,2.00,12.90,12.90,12.90,5.40,5.40,5.40
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBwUaOTY1NjIxMDE,False,7.50,11.80,14.00,,,,,,,,1.00,147.00,174.00,,,,,,,,0.00,613.00,433.45,361.63,99999,2.00,11.80,11.80,11.80,7.50,7.50,7.50
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AgQCDAcLBw8aOTY2MDIxMDE,False,0.80,9.30,11.30,,,,,,,,45.20,182.00,214.00,,,,,,,,0.00,281.17,274.69,266.77,2,2.00,9.30,9.30,9.30,0.80,0.80,0.80
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAMDAwQBBgQEMi45NjYxMjgwMQ,False,103.00,,,,,,,,,,-36.75,,,,,,,,,,0.00,0.00,0.00,0.00,99999,,100.10,100.10,100.10,0.00,0.00,0.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAAABg8LDwQCMS45NjYyMjEwNA,True,1.00,781.00,1186.00,1187.00,1484.00,,,,,,13.18,16.89,21.74,25.28,25.28,,,,,,6369.45,47912.71,47912.71,28863.58,1,24.00,1181.00,1181.00,1181.00,786.00,786.00,786.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,CQEEBwIMBA8aOTY2MzI5MDE,False,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,6,1.00,9.50,9.50,9.50,9.50,9.50,9.50
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAECDAcMAg8EMC45NjY0MjgwMQ,False,1.00,,,,,,,,,,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,24,,191.30,191.30,191.30,0.00,0.00,0.00
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAMKBQcABAQBLjk2NjUyOTAx,True,3.00,,,,,,,,,,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,99999,,1.10,1.10,1.10,1.10,1.10,1.10
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAIKAwELBQ4NOS45NjY1MjkwMg,True,3.00,,,,,,,,,,0.00,,,,,,,,,,0.00,0.00,0.00,0.00,99999,,1.10,1.10,1.10,1.10,1.10,1.10
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,AAEADAILBwMCMS45NjY2MDEwMQ,False,415.00,681.00,682.00,765.00,,,,,,,37.62,37.87,60.33,60.34,,,,,,,1716.37,9793.85,9793.85,9793.85,3,4.00,765.00,765.00,765.00,415.00,415.00,415.00
